# http://alluvian.simplenet.com/projects/sounds.zip
# This file is as of yet, incomplete.
# The sounds are numbered, both in hexadecimal format,
# As well as Decimal (I do not think any other format
# Will be needed anytime soon) The descriptions are
# The best ones I have done at the time, once I have
# Finished adding all the sounds, I will go back through
# Them again, and improve or change them :p
# Feel free to remove this commentary to make the file
# Easier to search through
#
# Hex     Decimal     Description
#------ ----------- ---------------
0000   0           Multiple birds chirping
0001   1           Multiple birds chirping, slightly longer
0002   2           Multiple birds chirping, one slightly dominant
0003   3           Birds/Owls at night
0004   4           Crickets/Birds at night, wind sounds
0005   5           Loud crickets, some birds in background
0006   6           Muted selection of birds/crickets/owls at night with wind
0007   7           Bird mating call (warble)
0008   8           Loud owl/crickets at night
0009   9           Loud crickets, owl mating call at night
000A   10          Very loud crickets, muted background hum (water?)
000B   11          Crickets with background sound of running water (river)
000C   12          General frog noises, one bird in background
000D   13          Slightly longer frog noises, another bird in background
000E   14          Loud crickets, mating chirps
000F   15          Subdued crickets
0010   16          Fast-moving water, river possibly over rocks
0011   17          Fast-moving stream, shallow
0012   18          A boat, or something being dragged or wading through deep water
0013   19          A boat moving through water, sails/rigging creaking in the wind
0014   20          Wind on a high mountain peak/cliff or in the desert at night
0015   21          Strong wind (long) prelude to a storm
0016   22          Strong wind, sounds of light rain, or blizzard
0017   23          Frog or Cricket chirping 4 times
0018   24          Single bird 'singing' a few short notes
0019   25          Bird call at night (cut off at end, possibly meant to loop)
001A   26          Solitary bird call (could be used for fleeing bird)
001B   27          Two single bird chirps (high-pich)
001C   28          One bird chattering at another
001D   29          Single two-note bird chirp
001E   30          Two mid-range bird cries
001F   31          Cry of a solitary bird (seeking others, or warning something off)
0020   32          Bubbling water (natural spring, or something similar)
0021   33          Bubbiling mud, lava, or thick stew
0022   34          Single large drop of water, into water
0023   35          Water dripping onto stone
0024   36          Two drips o water into something (alchemy sound perhaps, or wet cave)
0025   37          Sound of someone pouring (bucket?) of water, into some other container of water
0026   38          Large amount (semi-loud) sound of water being dumped into water
0027   39          Rock (or some small object) being tossed into water (or fishing sound of failure?)
0028   40          Thunder (deep bass notes, trailes off)
0029   41          Longer peal of thunder, trails off
002A   42          Clang of metal pot (or metal hammer)
002B   43          Forge being stoked (bellows) or fire being snuffed out
002C   44          Wooden door closing (behind you as you walk through)
002D   45          Wooden door opening (infront of you, to walk through)
002E   46          Metal door closing with a click
002F   47          Metal door opening
0030   48          Slurping sounds (stew or something thick)
0031   49          Something thick being drunk, sigh of relief
0032   50          Several small coins (or dice) hitting a table or stone floor
0033   51          Coins being dropped into chest (echoing)
0034   52          Single coing hitting (table?) spinning, falling over
0035   53          Smaler coin hitting (table?) spinning, falling over
0036   54          Several coins being dropped/poured onto (table?)
0037   55          More coins being dropped onto table
0038   56          Single drum playing, basic pattern
0039   57          Single drum playing, pattern, could be a signal
003A   58          Someone/something taking a bite out of something crisp (like an apple)
003B   59          Someone/something taking two bites out of something, and chewing on it
003C   60          Someone (a pig?) biting down and swallowing something crisp
003D   61          Single horn playing, simple pattern
003E   62          Glass breaking, or set of keys being dropped
003F   63          Several coins or keys being dropped
0040   64          Ceramic plate being broken
0041   65          Plate or glass being broken
0042   66          Hammer pounding wooden surface, or something being dropped (heavy) onto a table
0043   67          Harp playing, simple tune
0044   68          Someone failing to play a harp well
0045   69          Harp playing, same simple tune, higher pitched
0046   70          Someone failing to play a harp, higher pitched
0047   71          Wooden barrel having it's lid opened/closed
0048   72          Canvas/leather bag/pouch being opened
0049   73          Something like a nail(?) being pounded in (carpentry?)
004A   74          Wood being joined together, or key being used in lock
004B   75          Carpentry (board being placed somewhere, and nailed)
004C   76          Harp playing, simple tune
004D   77          Harp playing, very poorly (failure)
004E   78          Container filling with water
004F   79          Animal(?) chewing on plants
0050   80          Loud sound of something being swallowed
0051   81          System sound, cannot place item there
0052   82          Tamborine, played well
0053   83          Tabmorine, played poorly (failed)
0054   84          Fire (wall of fire set off?)
0055   85          Close book (spellbook)
0056   86          Sharpen sword/kinfe, possibly draw sword from hard scabbard
0057   87          Place object in backpack (default)
0058   88          Close backpack/inventory
0059   89          Close book/spellbook
005A   90          Alligator growling
005B   91          Alligator hissing after being doused, or snake sounds
005C   92          Alligator growl, used in combat?
005D   93          Alligator growling
005E   94          Alligator death
005F   95          Bear growling
0060   96          Bear growl
0061   97          Bear growl
0062   98          Bear growl 
0063   99          Bear growl(s) two sounds mixed
0064   100         Cow moo
0065   101         Cow moo (end cut off)
0066   102         Cow Semi-generic animal growl
0067   103         Cow Angry moo
0068   104         Cow death?)
0069   105         Cat meow
006A   106         Cat meow (slightly longer)
006B   107         Cat screech (combat/injury)
006C   108         Cat screach (attack?)
006D   109         Cat 'growl'
006E   110         Chicken Generic sound
006F   111         Chicken clucking (bad rooster calling?)
0070   112         Chicken Short calls
0071   113         Chicken (scream?)
0072   114         Chicken (injured)
0073   115         Large cat growl
0074   116         Large cat growl (shorter)
0075   117         Large cat growl/hiss (combat?)
0076   118         Large cat injured/upset
0077   119         Large cat (combat sound)
0078   120         Cow mooing
0079   121         Cow mooding (deeper)
007A   122         Cow mooing (injured/fleeing)
007B   123         Cow injured
007C   124         Cow death
007D   125         Crow cry
007E   126         Crow call
007F   127         Crow injured
0080   128         Crow call
0081   129         Crow death cry
0082   130         Deer (injured/combat)
0083   131         Deer/Stag (injured/combat)
0084   132         Deer/Stag death cry
0085   133         Dog bark (wag tail)
0086   134         Dog barks twice
0087   135         Dog growls (attacking)
0088   135         Dog whines (injured)
0089   137         Dog whines (injured)
008A   138         Dolphin (standard)
008B   139         Dolphin chattering
008C   140         Dolphin injured/attacking
008D   141         Doplhin injured
008E   142         Dolphin injured (death cry?)
008F   143         Eagle cry (generic)
0090   144         Eagle cry
0091   145         Eagle attacking (injured?)
0092   146         Eagle injured or screaming
0093   147         Eagle death cry
0094   148         ?Bird chirp (generic)
0095   149         ?Bird chirp, alarmed
0096   150         ?Bird chirp (attacking?)
0097   151         ?Bird chirp, injured
0098   152         ?Bird chirp, death cry
0099   153         Sheep (generic)
009A   154         Sheep injured
009B   155         Sheep sound (generic)
009C   156         Sheep injured/attacking
009D   157         Sheep death cry
009E   158         Gorilla (generic)
009F   159         Gorilla grunting
00A0   160         Gorilla growling
00A1   161         Gorilla injured
00A2   162         Gorilla death cry
00A3   163         Grizzly (generic)
00A4   164         Grizzly grunting
00A5   165         Grizzly attacking
00A6   166         Grizzly injured
00A7   167         Grizzly death cry
00A8   168         Horse (generic)
00A9   169         Horse (generic) + snort
00AA   170         Horse attacking
00AB   171         Horse injured
00AC   172         Horse death cry
00AD   173         Jungle bird (generic)
00AE   174         Jungle bird chirping
00AF   175         Jungle bird attacking
00B0   176         Jungle bird injured
00B1   177         Jungle bird death cry
00B2   178         Polar bear (generic)
00B3   179         Polar bear attacking
00B4   180         Polar bear injured
00B5   181         Polar bear injured
00B6   182         Polar bear death cry
00B7   183         Donkey/Llama generic
00B8   184         Donkey/Llama attack
00B9   185         Donkey/Llama inured/death
00BA   186         Walrus growl
00BB   187         Walrus growls
00BC   188         Walrus attacking
00BD   189         Walrus injured
00BE   190         Walrus death cry
00BF   191         Parrot 'Hello'
00C0   192         Parrot caw
00C1   193         Parrot attacking
00C2   194         Parrot injured
00C3   195         Parrot death cry
00C4   196         Pig (generic)
00C5   197         Pig grunting
00C6   198         Pig attacking
00C7   199         Pig injured
00C8   200         Pig death cry
00C9   201         Small pig generic
00CA   202         Small pig whining
00CB   203         Small pig attacking/injured
00CC   204         Rat
00CD   205         Rat generic
00CE   206         Rat attacking
00CF   207         Rat injured
00D0   208         Rat death cry
00D1   209         Raven
00D2   210         Raven 
00D3   211         Raven Shrill cry
00D4   212         Raven cry
00D5   213         Raven death
00D6   214         Lamb (generic)
00D7   215         Lamb baaing
00D8   216         Lamb attacking/injured
00D9   217         Lamb injured
00DA   218         Lamb death cry
00DB   219         Sea serpent (generic)
00DC   220         Sea serpent hissing
00DD   221         Sea serpent attacking
00DE   222         Sea serpent injured
00DF   223         Sea serpent death cry?
00E0   224         Walrus generic
00E1   225         Walrus growl/attack
00E2   226         Walrus growl
00E3   227         Walrus injury
00E4   228         Walrus death cry
00E5   229         Wolf growl
00E6   230         Wolf howl
00E7   231         Wolf attack
00E8   232         Wolf injured
00E9   233         Wolf death cry
00EA   234         Wooden door open
00EB   235         Wooden door close
00EC   236         Metal door open
00ED   237         Large metal door open/gate open
00EE   238         Door slamming shut (large metal?)
00EF   239         Door creaking shut
00F0   240         Door creaking open
00F1   241         Door closing with echo
00F2   242         Door closing with echo
00F3   243         Metal door opening/closing with echo
00F4   244         Monster (demon?) deep growl/attack
00F5   245         Monster (demon/lich?) growl/injury
00F6   246         Errie sound (echoing, magical?)
00F7   247         Errie sound (musical notes)
00F8   248         Errie sound (fading in/out)
00F9   249         Errie sound (graveyard/undead)
00FA   250         Single deep note, echoing (suspenseful)
00FB   251         Errie sound (undead/ghost)
00FC   252         Errie sound (spellcasting)
00FD   253         Errie sound (spell effect)
00FE   254         Errie sound (piercing/fading notes)
00FF   255         Errie sound (deep humming/magical effect)
0100   256         Errie sound (suspensful/dangerous place)
0101   257         Errie sound (thunder parody with gong)
0102   258         Errie sound (entrance music to something?)
0103   259         Errie sound (spellcasting/ghost)
0104   260         Errie sound (dungeon)
0105   261         Errie sound (dungeon, longer)
0106   262         Errie sound (dungeon, long, fading)
0107   263         Air elemental (generic)
0108   264         Air elemental
0109   265         Air elemental attacking
010A   266         Air elemental injured
010B   267         Air elemental destroyed
010C   268         Earth elemental (generic)
010D   269         Earth elemental growl
010E   270         Earth elemental attack
010F   271         Earth elemental injured
0110   272         Earth elemental destroyed
0111   273         Fire elemental (generic)
0112   274         Fire elemental moaning
0113   275         Fire elemental attacking
0114   276         Fire elemental injured
0115   277         Fire elemental destroyed
0116   278         Water elemental (generic)
0117   279         Water elemental bubbling
0118   280         Water elemental attacking
0119   281         Water elemental injured
011A   282         Water elemental destroyed
011B   283         Explosion (cannon fire?)
011C   284         Explosion (distant)
011D   285         Explosion (nearby)
011E   286         Explosion (gunshot)
011F   287         Drum (deep)
0120   288         Drum (deep)
0121   289         Footstep (wooden floor)
0122   290         Footstep (wooden floor)
0123   291         Footstep (stone/dirt)
0124   292         Footstep (stone/dirt)
0125   293         Footstep (water/swap)
0126   294         Footstep (water/swamp)
0127   295         Footstep (cobblestone/tile)
