//
//	Class:	-- none --
//	Set:	attributes
//	Prefix:	DEFMSG_
//

MSG(ANATOMY_DEX_1,						"very clumsy")
MSG(ANATOMY_DEX_10,						"superhumanly agile")
MSG(ANATOMY_DEX_2,						"somewhat uncoordinated")
MSG(ANATOMY_DEX_3,						"moderately dexterous")
MSG(ANATOMY_DEX_4,						"somewhat agile")
MSG(ANATOMY_DEX_5,						"very agile")
MSG(ANATOMY_DEX_6,						"extremely agile")
MSG(ANATOMY_DEX_7,						"extraordinarily agile")
MSG(ANATOMY_DEX_8,						"like they move like quicksilver")
MSG(ANATOMY_DEX_9,						"like one of the fastest people you have ever seen")
MSG(ANATOMY_MAGIC,						"This is a magical creature")
MSG(ANATOMY_RESULT,						"%s looks %s and %s.")
MSG(ANATOMY_STR_1,						"rather feeble")
MSG(ANATOMY_STR_10,						"superhumanly strong")
MSG(ANATOMY_STR_2,						"somewhat weak")
MSG(ANATOMY_STR_3,						"to be of normal strength")
MSG(ANATOMY_STR_4,						"somewhat strong")
MSG(ANATOMY_STR_5,						"very strong")
MSG(ANATOMY_STR_6,						"extremely strong")
MSG(ANATOMY_STR_7,						"extraordinarily strong")
MSG(ANATOMY_STR_8,						"as strong as an ox")
MSG(ANATOMY_STR_9,						"like one of the strongest people you have ever seen")
MSG(ANIMALLORE_CONJURED,				"like a conjured creature")
MSG(ANIMALLORE_FOOD,					"%s looks %s.")
MSG(ANIMALLORE_FREE,					"%s is %s own master")
MSG(ANIMALLORE_MASTER,					"%s is loyal to %s")
MSG(ANIMALLORE_MASTER_YOU,				"you")
MSG(ANIMALLORE_RESULT,					"%s is a %s")
MSG(ARMSLORE_DAM,						"Attack [%d].")
MSG(ARMSLORE_DEF,						"Defense [%d].")
MSG(ARMSLORE_PSN_1,						"You see no poison.")
MSG(ARMSLORE_PSN_10,					"You see enough poison to kill almost anything.")
MSG(ARMSLORE_PSN_2,						"You detect a tiny amount of poison.")
MSG(ARMSLORE_PSN_3,						"You find a small amount of poison.")
MSG(ARMSLORE_PSN_4,						"You find a little poison.")
MSG(ARMSLORE_PSN_5,						"You find some poison.")
MSG(ARMSLORE_PSN_6,						"There is poison on that.")
MSG(ARMSLORE_PSN_7,						"You find a lot of poison.")
MSG(ARMSLORE_PSN_8,						"You find a large amount of poison.")
MSG(ARMSLORE_PSN_9,						"You find a huge amount of poison.")
MSG(ARMSLORE_REP,						"This item is %s.")
MSG(ARMSLORE_REP_0,						" It looks quite fragile.")
MSG(ARMSLORE_UNABLE,					"That does not appear to be a weapon or armor.")
MSG(AXIS_DENIED,						"Access to Axis' database has been denied!")
MSG(AXIS_FILE_ERROR,					"ERROR: Unable to open Axis' database file")
MSG(AXIS_INFO_ERROR,					"ERROR: Unable to retrieve Axis' database info")
MSG(AXIS_NOT_PRIV,						"This account does not exist or is not privileged to access Axis' database.")
MSG(BEGGING_START,						"You grovel at %s's feet")
MSG(BLACKSMITHING_NOSKILL,				"You have no idea how to work this metal.")
MSG(BVBOX_DEPOSITED,					"%d gold was deposited in your account.")
MSG(BVBOX_FULL_ITEMS,					"Your bankbox can't hold more items.")
MSG(BVBOX_FULL_WEIGHT,					"Your bankbox can't hold more weight.")
MSG(BVBOX_OPEN_OTHER,					"%s has %d stones in %s %s")
MSG(BVBOX_OPEN_SELF,					"You have %d stones in your %s")
MSG(CANT_MAKE,							"You can't make that.")
MSG(CANT_MAKE_RES,						"You can't make anything with what you have.")
MSG(CARVE_CORPSE_FEATHERS,				"You pluck the bird. The feathers are now on the corpse.")
MSG(CARVE_CORPSE_HIDES,					"You skin it, and the hides are now in the corpse.")
MSG(CARVE_CORPSE_MEAT,					"You carve some meat, which remains on the corpse.")
MSG(CARVE_CORPSE_NOTHING,				"You see nothing useful to carve from the corpse.")
MSG(CARVE_CORPSE_SCALES,				"You cut away some scales, but they remain on the corpse.")
MSG(CARVE_CORPSE_WOOL,					"You shear it, and the wool is now on the corpse.")
MSG(CMD_INVALID,						"Not a valid command or format")
MSG(CMD_REMOVE_PLAYER,					"Can't remove players this way, use 'kick' or 'remove 1'")
MSG(CMD_TOGGLE_OFF,						"OFF")
MSG(CMD_TOGGLE_ON,						"ON")
MSG(COOKING_FIRE_SOURCE,				"You must be near a fire source to cook.")
MSG(COMBAT_ARCH_NOAMMO,					"You have no ammunition.")
MSG(COMBAT_ARCH_TOOCLOSE,				"You are too close.")
MSG(COMBAT_ATTACKO,						"*%s is attacking %s!*")
MSG(COMBAT_ATTACKS,						"*%s is attacking you!*")
MSG(COMBAT_INSIDESHIP,					"You cannot hit characters inside the ship.")
MSG(COMBAT_MISSO,						"%s missed you.")
MSG(COMBAT_MISSS,						"You miss %s.")
MSG(COMBAT_OUTSIDESHIP,					"You cannot hit characters outside the ship.")
MSG(COMBAT_PARRY,						"Your attack was parried!")
MSG(CONT_ITEMS,							" (%d items, %d stones)")
MSG(CONT_FULL,							"Too many items in that container")
MSG(CONT_MAGIC,							"The item bounces out of the magic container")
MSG(CONT_TOOSMALL,						"The container is too small for that")
MSG(CONT_FULL_WEIGHT,					"This container can't hold more weight.")
MSG(CORPSE_NAME,						"%s of %s")
MSG(DETECTHIDDEN_SUCC,					"You find %s")
MSG(DRINK_CANTMOVE,						"You can't move the item.")
MSG(DRINK_POTION_DELAY,					"You can't drink another potion yet")
MSG(EVALINT_INT_1,						"dumb as a rock")
MSG(EVALINT_INT_10, 					"superhumanly intelligent")
MSG(EVALINT_INT_2,						"fairly stupid")
MSG(EVALINT_INT_3,						"not the brightest")
MSG(EVALINT_INT_4,						"about average")
MSG(EVALINT_INT_5,						"moderately intelligent")
MSG(EVALINT_INT_6,						"very intelligent")
MSG(EVALINT_INT_7,						"like a formidable intellect")
MSG(EVALINT_INT_8,						"extraordinarily intelligent")
MSG(EVALINT_INT_9,						"like a definite genius")
MSG(EVALINT_MAG_1,						"clueless about magic")
MSG(EVALINT_MAG_2,						"to have vague grasp of magic")
MSG(EVALINT_MAG_3,						"capable of using magic")
MSG(EVALINT_MAG_4,						"higly capable with magic")
MSG(EVALINT_MAG_5,						"to be adept of magic")
MSG(EVALINT_MAG_6,						"to have mastery of magic")
MSG(EVALINT_MAN_1,						"nearly absent of mana")
MSG(EVALINT_MAN_2,						"low on mana")
MSG(EVALINT_MAN_3,						"half drained of mana")
MSG(EVALINT_MAN_4,						"have a high charge of mana")
MSG(EVALINT_MAN_5,						"full of mana")
MSG(EVALINT_MAN_6,						"super charged with mana")
MSG(EVALINT_RESULT,						"%s looks %s.")
MSG(EVALINT_RESULT_2,					"They look %s and %s.")
MSG(FISHING_CLOSE,						"You cannot fish so close to yourself.")
MSG(FISHING_LOS,						"You cannot see that location.")
MSG(FISHING_NORESOURCE,					"The fish don't seem to be biting here.")
MSG(FISHING_NOWATER,					"You need water to fish in!")
MSG(FISHING_REACH,						"You need to be closer to the water to fish!")
MSG(FISHING_SUCCESS,					"You pull out an item : %s")
MSG(FOOD_CANTEAT,						"You are not capable of eating.")
MSG(FOOD_CANTEATF,						"You are simply too full to eat any more!")
MSG(FOOD_CANTMOVE,						"You can't move the item.")
MSG(FOOD_FULL_1,						"You eat the food, but are still extremely hungry.")
MSG(FOOD_FULL_2,						"After eating the food, you feel much less hungry.")
MSG(FOOD_FULL_3,						"You eat the food, and begin to feel more satiated.")
MSG(FOOD_FULL_4,						"You are nearly stuffed, but manage to eat the food.")
MSG(FOOD_FULL_5,						"You feel quite full after consuming the food.")
MSG(FOOD_FULL_6,						"You are stuffed!")
MSG(FOOD_RCANTEAT,						"You can't really eat this.")
MSG(FORENSICS_CARVE_1,					"This is the corpse of %s and it has been carved up. ")
MSG(FORENSICS_CARVE_2,					"It looks to have been carved by %s")
MSG(FORENSICS_CORPSE,					"Forensics must be used on a corpse.")
MSG(FORENSICS_FAILNAME,					"You cannot determine who killed it")
MSG(FORENSICS_NAME,						"It looks to have been killed by %s")
MSG(FORENSICS_REACH,					"You are too far away to tell much.")
MSG(FORENSICS_TIMER,					"This is %s and it is %lld seconds old. ")
MSG(GARGOYLE_FLY_CANTCURRENTFORM,		"You can't fly in your current form!")
MSG(GARGOYLE_FLY_CANTDEAD,				"You may not fly while dead.")
MSG(GMPAGE_PENDING,						"There are %d GM page(s) pending. Use %cPAGE command to view.")
MSG(GMPAGE_PROMPT,						"Please enter a brief description of your problem:")
